FID,osm_id,code,fclass,name
1456,"11576730488",3500,hindu,"Shri Gajanan Bhavan, Sagar"
431,"4836553353",3300,muslim,Masjid Ashbagh
1847,"12189888324",3500,hindu,Maa Hinglaj Devi Mandir Mehar
1781,"12172038605",3500,hindu,Shiv &Shiva Mandir
1747,"12153176496",3500,hindu,Shri Ram Jaanki Mandir  Sagar
1810,"12176046047",3500,hindu,Hanuman Ji Lal Mandir
1768,"12159887784",3500,hindu,Brajmohan Mandir
1518,"11690576045",3500,hindu,mandir
1653,"11888912373",3500,hindu,tulsi colony
1505,"11690469331",3500,hindu,shree radha krishna mandir
1459,"11580699347",3800,sikh,Gurudwara Guru Singh Sabha
1811,"12176052309",3500,hindu,Joiya Pariwar Kuldevi Kali Mandir
1795,"12174268480",3500,hindu,Jagdish Swami Mandir
1698,"12100447228",3500,hindu,Ma Hahsiddhi Mata  Mandir
1568,"11693461396",3500,hindu,gurjar mandir
1736,"12144966864",3500,hindu,Shiv Temple
1831,"12188169477",3500,hindu,Parcheen Sidh Hanuman Mandir Gadpahra
405,"4706578748",3500,hindu,Ram Mandir
1713,"12102652667",3500,hindu,Ma Beejasain  Mandir Khamriya
708,"7125726119",3500,hindu,Panchmukhi Mahadev Temple
1763,"12159398425",3500,hindu,Hanunman Mandir
969,"8259106991",3500,hindu,
504,"5327309468",3300,muslim,Jama masjid
1732,"12114099866",3500,hindu,Shree Hanuman Mandir
1741,"12151403321",3500,hindu,Mata Vaishno Devi Mandir
1827,"12188112927",3500,hindu,Krishna Temple
1662,"11980223628",3500,hindu,Hanuman mandir
1707,"12102003541",3500,hindu,Thenge Baba Hanuman Mandir
785,"7686993803",3100,christian,St Thomas' Church
1284,"10895503076",3500,hindu,Shiv Mandir
1525,"11690806572",3800,sikh,Gurudwara Guru Nanak Bunga Sahib
1681,"12073242893",3500,hindu,Hanuman Mandir
1835,"12189696167",3500,hindu,Shri Hanuman Mandir
1651,"11888847794",3500,hindu,Hanuman mandir Junapani
397,"4701420848",3500,hindu,Pitambara Peetha
1526,"11690809127",3500,hindu,ISKCON Radha Govind Temple
1506,"11690469333",3800,sikh,gurudwara
1500,"11690381789",3500,hindu,Khajrana Ganesh Mandir
1572,"11693461405",3500,hindu,mata basiya temple
1731,"12108290293",3500,hindu,Jagedhwar Mahadev
530,"5479582587",3500,hindu,Radhe Krishna Mandir
999,"8609679299",3500,hindu,Shani Mandir
1512,"11690576034",3300,muslim,hashemi masjid
1212,"10228161867",3100,christian,Holy Spirit Convent
519,"5458547036",3300,muslim,Sri Nagar Colony Masjid
1730,"12108239491",3500,hindu,Sidd Dham Dinai Ki Daba
704,"7112302713",3500,hindu,Paramhans Ashram
1843,"12189790727",3500,hindu,Shiv Mandir Mehar
1112,"9556262424",3500,hindu,Bhramapura ke bheruji
174,"3345000609",3500,hindu,Lakshman Mandir Temple
16,"1109069239",3500,hindu,Bhojeshwar
1852,"12194220186",3500,hindu,Mahakal Dham Khejra Darbar
1462,"11611852444",3500,hindu,Mata Durga Temple
1452,"11565120131",3500,hindu,Shri Gadhkalika Mata Mandir
502,"5323641700",3500,hindu,Ramal Baba Dev Sthan
190,"3634092577",3500,hindu,Murli Mandir
529,"5479358207",3500,hindu,Shiv Temple
1772,"12161645263",3500,hindu,Sawaiya Mandir Khiriya
1504,"11690469322",3500,hindu,
300,"4313126511",3500,hindu,Maa Gayatri Temple
639,"6562420293",3500,hindu,radha krishna mandir
1786,"12172286761",3500,hindu,Mandir Bas Stend Basahari
1868,"12210701009",3500,hindu,Shiv Mandir Kaptan Yadav
1774,"12161681335",3500,hindu,Ram Janki Mandir Bardha
91,"2898884981",3300,muslim,Eidgah Masjid (Junior)
1745,"12153156273",3500,hindu,Baba Mandir
706,"7123907529",3500,hindu,Shri Rajrajeshwar Sahastrarjun Bhagwan
1850,"12194189356",3500,hindu,Shri Ram Mandir Mehar
1020,"8892137341",3500,hindu,Hanuman mandir
1796,"12174317951",3500,hindu,Seetla mata mandir
1449,"11555017017",3500,hindu,
1701,"12100623315",3500,hindu,Kachern Kher Mata Mandir
1799,"12174654680",3500,hindu,Mata Rani Ka Mandir
1759,"12157765692",3500,hindu,Sri Sri 1008  Shri  Someshwar Mahadev
1354,"10959671253",3800,sikh,GURUDHWAWA
1273,"10815868008",3500,hindu,Mangeshi mandir
1510,"11690469348",3500,hindu,kalbheru mandir
1855,"12194340197",3500,hindu,Baba Mahakal Mandir
1567,"11693461395",3500,hindu,shri todi ganesh
1842,"12189790704",3500,hindu,Shri Karsna Baldau  Mandir
762,"7361864363",3500,hindu,Shri Dadaji Darbar Khandwa
1834,"12188179368",3500,hindu,Shri Angadh Devi Gufa Mandir
459,"5003725413",3500,hindu,Ram Mandir
1750,"12153211642",3500,hindu,Vidyasagar Medical Store
1270,"10807015608",3100,christian,
1624,"11721812163",3500,hindu,Bajrangbali Temple
1672,"12013370226",3500,hindu,Ram Hanuman Mandir
1792,"12174198171",3500,hindu,Triveni Mandir Khimlasa
1714,"12105623625",3500,hindu,SHRI  Ram Karpa DHam
1647,"11796145009",3500,hindu,Hanuman Temple
1493,"11690375134",3500,hindu,
1729,"12108203476",3500,hindu,Vihari Ji Mandir
1463,"11618785103",3500,hindu,Mahadev Mandir
470,"5193576481",3500,hindu,Zulelal Mandir
1863,"12203639858",3500,hindu,Mahakal Dham Khejra Darbar
1516,"11690576039",3500,hindu,gupteswar mahadev
1841,"12189773125",3500,hindu,Baldau Ji Mandir
1468,"11637505848",3400,buddhist,Sai Mandir
1914,"12539495610",3500,hindu,Shri Maa Mahakali Siddh Shaktipeeth
1607,"11698820946",3500,hindu,"Hanuman Temple, Raikhedi"
789,"7724667593",3100,christian,Methodist church
1854,"12194270801",3500,hindu,Shiv Mandir
1632,"11738092293",3500,hindu,Jatashankar Temple
434,"4866877972",3500,hindu,Shiva Temple
1503,"11690469321",3500,hindu,
1867,"12210699782",3500,hindu,Jai Baba Barfani
1776,"12167977010",3500,hindu,Shani Mandir
1692,"12098323691",3500,hindu,Hanuman Mandir
1629,"11729957309",3500,hindu,Ancient Khedapati Temple
1778,"12168052617",3500,hindu,Karash Dev Mandir
