FID,osm_id,code,fclass,name,shape@x,shape@y
1456,"11576730488",3500,hindu,"Shri Gajanan Bhavan, Sagar",78.7506651000,23.8175712000
431,"4836553353",3300,muslim,Masjid Ashbagh,77.4190789000,23.2563331000
1847,"12189888324",3500,hindu,Maa Hinglaj Devi Mandir Mehar,78.6623606000,23.9840545000
1781,"12172038605",3500,hindu,Shiv &Shiva Mandir,78.2449390000,24.2051499000
1747,"12153176496",3500,hindu,Shri Ram Jaanki Mandir  Sagar,78.7280966000,23.8349321000
1810,"12176046047",3500,hindu,Hanuman Ji Lal Mandir,78.7409131000,23.8512065000
1768,"12159887784",3500,hindu,Brajmohan Mandir,78.3290684000,24.0419031000
1518,"11690576045",3500,hindu,mandir,76.6841721000,25.6995569000
1653,"11888912373",3500,hindu,tulsi colony,79.5475552000,22.3911004000
1505,"11690469331",3500,hindu,shree radha krishna mandir,76.7032947000,25.6780561000
1459,"11580699347",3800,sikh,Gurudwara Guru Singh Sabha,78.3582729000,22.7543565000
1811,"12176052309",3500,hindu,Joiya Pariwar Kuldevi Kali Mandir,78.7407406000,23.8502285000
1795,"12174268480",3500,hindu,Jagdish Swami Mandir,78.3650635000,24.2079849000
1698,"12100447228",3500,hindu,Ma Hahsiddhi Mata  Mandir,78.7059546000,23.7166632000
1568,"11693461396",3500,hindu,gurjar mandir,76.6983617000,25.6660182000
1736,"12144966864",3500,hindu,Shiv Temple,78.3591023000,22.7248797000
1831,"12188169477",3500,hindu,Parcheen Sidh Hanuman Mandir Gadpahra,78.7181789000,23.9122855000
405,"4706578748",3500,hindu,Ram Mandir,78.8338820000,24.7447018000
1713,"12102652667",3500,hindu,Ma Beejasain  Mandir Khamriya,78.5693357000,23.6430219000
708,"7125726119",3500,hindu,Panchmukhi Mahadev Temple,80.3696198000,22.5877716000
1763,"12159398425",3500,hindu,Hanunman Mandir,78.4207963000,23.9962472000
969,"8259106991",3500,hindu,,82.6281713000,24.1095747000
504,"5327309468",3300,muslim,Jama masjid,77.2665381000,22.6800146000
1732,"12114099866",3500,hindu,Shree Hanuman Mandir,78.6444609000,23.8088509000
1741,"12151403321",3500,hindu,Mata Vaishno Devi Mandir,78.6989704000,23.8397522000
1827,"12188112927",3500,hindu,Krishna Temple,78.7475999000,23.8810667000
1662,"11980223628",3500,hindu,Hanuman mandir,78.9612509000,24.0384751000
1707,"12102003541",3500,hindu,Thenge Baba Hanuman Mandir,78.5726352000,23.6266751000
785,"7686993803",3100,christian,St Thomas' Church,80.0076294000,23.2055160000
1284,"10895503076",3500,hindu,Shiv Mandir,75.8620261000,22.6901383000
1525,"11690806572",3800,sikh,Gurudwara Guru Nanak Bunga Sahib,75.9342285000,22.7702446000
1681,"12073242893",3500,hindu,Hanuman Mandir,78.8330556000,23.6308623000
1835,"12189696167",3500,hindu,Shri Hanuman Mandir,78.6808489000,23.9517876000
1651,"11888847794",3500,hindu,Hanuman mandir Junapani,79.5051885000,22.3627115000
397,"4701420848",3500,hindu,Pitambara Peetha,78.4619658000,25.6636262000
1526,"11690809127",3500,hindu,ISKCON Radha Govind Temple,75.9314272000,22.7564359000
1506,"11690469333",3800,sikh,gurudwara,76.7000592000,25.6771155000
1500,"11690381789",3500,hindu,Khajrana Ganesh Mandir,75.9081260000,22.7312255000
1572,"11693461405",3500,hindu,mata basiya temple,76.7015078000,25.6751425000
1731,"12108290293",3500,hindu,Jagedhwar Mahadev,78.6401329000,23.8087458000
530,"5479582587",3500,hindu,Radhe Krishna Mandir,77.3360919000,23.2723762000
999,"8609679299",3500,hindu,Shani Mandir,78.3414946000,23.5926810000
1512,"11690576034",3300,muslim,hashemi masjid,76.6971121000,25.6638445000
1212,"10228161867",3100,christian,Holy Spirit Convent,75.8734538000,22.6735323000
